"year","region","agglt","glb_agglt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar","above_scalar_min","above_scalar_max","below_scalar_min","below_scalar_max"
2025,"Globe","Crop",13126.6271225025,13782.614788784,13497.2356863814,1.04997381735305,1.02823334283973,0.93269050908749,1.10556193362292,0.975440852591203,1.04942957462425
2025,"Globe","Forest",29939.7024432052,30092.9819846509,30143.8396150213,1.00511960804342,1.0068182765745,0.982878575747946,1.03909945235637,0.994309926547498,1.02370422678001
2025,"Globe","Grassland",19388.793144761,19927.8315024905,19562.983703388,1.02780154255631,1.00898408463727,1.02059610595573,1.03341391805876,1.00410628816393,1.01278344156044
2025,"Globe","Pasture",32159.7130620882,33766.374251407,32789.7937561457,1.04995881605713,1.01959223618821,0.993243943588864,1.0576293273244,0.995716513886282,1.02380467465709
2025,"Globe","Shrubland",11717.637604423,12913.6612789811,12145.3554199303,1.10207037586711,1.03650205185949,1.0799625228067,1.1406331937239,1.02593885516492,1.05492747874308
2030,"Globe","Crop",13711.6190419337,14705.371333744,14121.794017473,1.07247519704064,1.02991440866938,0.979416729230098,1.14569771179878,0.977907636615637,1.06896256090665
2030,"Globe","Forest",29835.3310410652,30596.9667278411,30246.4874331984,1.0255279784135,1.01378085570987,1.00151733108577,1.06679764065499,1.00200060804642,1.03200759799467
2030,"Globe","Grassland",19250.496918531,19547.015472985,19182.6602441055,1.01540316365385,0.996476107878536,1.01310034697303,1.01832211668208,0.99549480472824,0.997719966248168
2030,"Globe","Pasture",31861.0419971115,32676.1218995951,31700.165075303,1.02558233665294,0.994950669792186,1.00538499089968,1.03725604417456,0.992259388302761,1.00031851826009
2030,"Globe","Shrubland",11706.183456887,13447.3487323699,12261.3690368226,1.14873893629768,1.0474266939332,1.1338481590303,1.17478284477648,1.04226645542786,1.05645192995337
2035,"Globe","Crop",14752.2142948851,15543.800818836,15004.5291746961,1.05365882762599,1.01710352593634,0.962305578488466,1.16556542030873,0.964941698630346,1.05284359296782
2035,"Globe","Forest",29750.5093248722,30589.6927529684,30096.8227561443,1.02820736340788,1.01164058831701,1.00670192993419,1.06495093383529,1.00299172004088,1.02749131115479
