# Year,C_FDBK,AG_FDBK,FULL_FDBK,CONTROL
2.015000000000000000e+03,2.850667490037479638e+03,2.850667490037479638e+03,2.850667490037479638e+03,2.850667490037479638e+03
2.016000000000000000e+03,2.856118976332449620e+03,2.856118976332449620e+03,2.856118976332449620e+03,2.856118976332449620e+03
2.017000000000000000e+03,2.857606456081534361e+03,2.857606456081534361e+03,2.857606456081534361e+03,2.857606456081534361e+03
2.018000000000000000e+03,2.857300610163024430e+03,2.857300610163024430e+03,2.857300610163024430e+03,2.857300610163024430e+03
2.019000000000000000e+03,2.860373681901063264e+03,2.860373681901063264e+03,2.860373681901063264e+03,2.860373681901063264e+03
2.020000000000000000e+03,2.862678059810367358e+03,2.863471591244448973e+03,2.863471591244448973e+03,2.862678059810367358e+03
2.021000000000000000e+03,2.861071932968679448e+03,2.863109705402564487e+03,2.863109705402564487e+03,2.861071932968679448e+03
2.022000000000000000e+03,2.861297343771353553e+03,2.862776875170718085e+03,2.862776875170718085e+03,2.861297343771353553e+03
2.023000000000000000e+03,2.866397546333282207e+03,2.864488257496723691e+03,2.864488257496723691e+03,2.866397546333282207e+03
2.024000000000000000e+03,2.865315805167167582e+03,2.866251782059835932e+03,2.866251782059835932e+03,2.865315805167167582e+03
2.025000000000000000e+03,2.864562391101721005e+03,2.865200414405786887e+03,2.865200414405786887e+03,2.864562391101721005e+03
2.026000000000000000e+03,2.867837445150859821e+03,2.866103392755375353e+03,2.866103392755375353e+03,2.867837445150859821e+03
2.027000000000000000e+03,2.870295562975035864e+03,2.867778018183364566e+03,2.867778018183364566e+03,2.870295562975035864e+03
2.028000000000000000e+03,2.872117686417885579e+03,2.868506859660274131e+03,2.868506859660274131e+03,2.872117686417885579e+03
2.029000000000000000e+03,2.871513999668602992e+03,2.866981864591079557e+03,2.866981864591079557e+03,2.871513999668602992e+03
2.030000000000000000e+03,2.874915692252230656e+03,2.869245862269545796e+03,2.869245862269545796e+03,2.874915692252230656e+03
2.031000000000000000e+03,2.878002149134729279e+03,2.871329407200438254e+03,2.871329407200438254e+03,2.878002149134729279e+03
2.032000000000000000e+03,2.876603991542180665e+03,2.871435469944635315e+03,2.871435469944635315e+03,2.876603991542180665e+03
2.033000000000000000e+03,2.877530909743693428e+03,2.873179993017862671e+03,2.873179993017862671e+03,2.877530909743693428e+03
2.034000000000000000e+03,2.881204896686641405e+03,2.876812706285764762e+03,2.876812706285764762e+03,2.881204896686641405e+03
2.035000000000000000e+03,2.882688141912372885e+03,2.877751632837085253e+03,2.879160164868208540e+03,2.883725936971046394e+03
2.036000000000000000e+03,2.881646819041840899e+03,2.875070006011091209e+03,2.879599824884778172e+03,2.884444516767211098e+03
2.037000000000000000e+03,2.880283243629413846e+03,2.874895387942575326e+03,2.879967710592350613e+03,2.883100927500624493e+03
2.038000000000000000e+03,2.878743358062816696e+03,2.873534935993863655e+03,2.877177681117632801e+03,2.880450217147967578e+03
