region,scenario,GCAM_basin_ID,gcam_glu_abbr,year,LT_GCAM,lt_gcam_area_ha,AvailableUnmanaged_area_ha,AvailableUnmanaged_percent _of_AllUnmanaged,GCAM_region_ID,unit_id
Africa_Eastern,Reference,87,NileR,2015,AllUnmanaged,130528713.9,111107210,85.1208953802463,2,2087
Africa_Eastern,Reference,100,AfrCstNE,2015,AllUnmanaged,47605553.8,16433390,34.5199009112252,2,2100
Africa_Eastern,Reference,144,AfrIntN,2015,AllUnmanaged,3406476.03272031,1646449.2,48.3329160160036,2,2144
Africa_Eastern,Reference,151,LChad,2015,AllUnmanaged,5707783.88844142,5700411.7,99.8708397412111,2,2151
Africa_Eastern,Reference,170,ShebJubR,2015,AllUnmanaged,64891615,55852500,86.0704422289382,2,2170
Africa_Eastern,Reference,171,AfrCstE,2015,AllUnmanaged,15357073,12069680,78.5936226258741,2,2171
Africa_Eastern,Reference,177,Madagascar,2015,AllUnmanaged,35008479.77,32049560,91.5479912597187,2,2177
Africa_Eastern,Reference,179,RiftValley,2015,AllUnmanaged,26756830,18705530,69.9093651975963,2,2179
Africa_Eastern,Reference,183,CongoR,2015,AllUnmanaged,769364.56,664728,86.3996126881644,2,2183
Africa_Northern,Reference,75,MeditE,2015,AllUnmanaged,2378.9900416325,1095.47,46.0476917023272,3,3075
Africa_Northern,Reference,80,MeditS,2015,AllUnmanaged,21061985.9,13339680,63.3353381933467,3,3080
Africa_Northern,Reference,86,AfrCstNW,2015,AllUnmanaged,15085774.16,8378465,55.5388468045315,3,3086
Africa_Northern,Reference,87,NileR,2015,AllUnmanaged,21019.414,15631.7,74.3679152996368,3,3087
Africa_Northern,Reference,144,AfrIntN,2015,AllUnmanaged,45478187.281,6763625,14.8722396480075,3,3144
Africa_Northern,Reference,151,LChad,2015,AllUnmanaged,7774,777.4,10,3,3151
Africa_Southern,Reference,87,NileR,2015,AllUnmanaged,4442258.214,3893210.8,87.6403534519977,4,4087
Africa_Southern,Reference,162,GuineaGulf,2015,AllUnmanaged,465757.803202547,447185,96.0123473885267,4,4162
Africa_Southern,Reference,171,AfrCstE,2015,AllUnmanaged,59107923.9,50247403,85.0095887059231,4,4171
Africa_Southern,Reference,179,RiftValley,2015,AllUnmanaged,11580807.024,10527151,90.9017046755342,4,4179
Africa_Southern,Reference,182,AngolaCst,2015,AllUnmanaged,37475542.7,34613630,92.363252153784,4,4182
Africa_Southern,Reference,183,CongoR,2015,AllUnmanaged,45819126.1,42080025,91.8394316560306,4,4183
Africa_Southern,Reference,188,ZambeziR,2015,AllUnmanaged,105883605.16574,90454522.59,85.4282610120908,4,4188
Africa_Southern,Reference,190,AfrCstSE,2015,AllUnmanaged,19099646.1031579,18382720.1,96.2463911672198,4,4190
Africa_Southern,Reference,194,OrangeR,2015,AllUnmanaged,34428342.8,24457660,71.0393182212651,4,4194
Africa_Southern,Reference,196,AfrCstSW,2015,AllUnmanaged,14414463.717,8540881,59.2521592733771,4,4196
Africa_Southern,Reference,197,AfrIntS,2015,AllUnmanaged,73600161.3,64470890,87.5961259612076,4,4197
Africa_Southern,Reference,198,AfrCstS,2015,AllUnmanaged,3527912.28,3146099.8,89.1773817006584,4,4198
Africa_Southern,Reference,199,LimpopoR,2015,AllUnmanaged,20002956.1387444,19041529.2,95.1935757291285,4,4199
Africa_Western,Reference,86,AfrCstNW,2015,AllUnmanaged,2245726.04378579,843014.4,37.5386126162952,5,5086
Africa_Western,Reference,87,NileR,2015,AllUnmanaged,1142293.43,757533.9,66.3169269913423,5,5087
Africa_Western,Reference,142,AfrCstW,2015,AllUnmanaged,59682993.9,56526779,94.7117014516928,5,5142
Africa_Western,Reference,144,AfrIntN,2015,AllUnmanaged,13020553.0198541,7385420,56.7212466992647,5,5144
Africa_Western,Reference,149,NigerR,2015,AllUnmanaged,102334562.2,91210870,89.130073006752,5,5149
Africa_Western,Reference,151,LChad,2015,AllUnmanaged,84391879.4106653,70556349,83.6056140622971,5,5151
Africa_Western,Reference,152,SenegalR,2015,AllUnmanaged,34060042.2794796,32133183.5,94.342758697512,5,5152
Africa_Western,Reference,160,VoltaR,2015,AllUnmanaged,26542301,24481272.6,92.2349294433817,5,5160
Africa_Western,Reference,162,GuineaGulf,2015,AllUnmanaged,53060063.02,49305327.1,92.9236120232561,5,5162
Africa_Western,Reference,183,CongoR,2015,AllUnmanaged,254665486.803,232252235,91.19894411906,5,5183
Africa_Western,Reference,188,ZambeziR,2015,AllUnmanaged,152138.90160114,151184.53,99.3726971924366,5,5188
Argentina,Reference,169,ChileCstS,2015,AllUnmanaged,3526390.185,1077088.93,30.543668553229,31,31169
