,# Year,AG_FDBK,CONTROL,C_FDBK,FULL_FDBK
0,2015,287.7288,287.7288,287.7288,287.7288
1,2016,287.7294,287.7294,287.7294,287.7294
2,2017,287.84415,287.84415,287.84415,287.84415
3,2018,287.9023,287.9023,287.9023,287.9023
4,2019,287.77847,287.77847,287.77847,287.77847
5,2020,287.82724,287.91092,287.91092,287.82724
6,2021,287.95377,287.94598,287.94598,287.95377
7,2022,287.73898,287.72113,287.72113,287.73898
8,2023,287.77838,287.87787,287.87787,287.77838
9,2024,287.90042,287.96323,287.96323,287.90042
10,2025,287.884,288.02298,288.02298,287.884
11,2026,287.99844,287.94516,287.94516,287.99844
12,2027,288.01138,288.02945,288.02945,288.01138
13,2028,288.22293,288.2005,288.2005,288.22293
14,2029,288.06424,288.0712,288.0712,288.06424
15,2030,287.91248,287.9668,287.9668,287.91248
16,2031,288.07034,288.10568,288.10568,288.07034
17,2032,288.19406,288.1462,288.1462,288.19406
18,2033,288.07422,288.14426,288.14426,288.07422
19,2034,287.95187,287.99878,287.99878,287.95187
20,2035,287.96408,287.97238,287.95804,287.9556
21,2036,288.1345,288.07095,288.12164,288.0864
22,2037,288.14627,288.18127,288.2122,288.2041
23,2038,288.17294,288.22192,288.22278,288.2252
24,2039,287.98776,287.9922,287.95084,288.0081
25,2040,288.051,288.09335,288.02176,288.0662
26,2041,288.20425,288.17883,288.1664,288.2349
27,2042,288.33957,288.31628,288.37036,288.30893
28,2043,288.35724,288.39514,288.3151,288.30447
29,2044,288.377,288.29172,288.24478,288.2382
30,2045,288.39832,288.3758,288.30997,288.32864
31,2046,288.41876,288.39224,288.41943,288.44824
32,2047,288.36526,288.35107,288.40256,288.45242
33,2048,288.47025,288.45145,288.45584,288.4302
34,2049,288.49805,288.4852,288.42294,288.43808
35,2050,288.4907,288.4735,288.4766,288.50638
36,2051,288.40543,288.40344,288.4606,288.34668
37,2052,288.49313,288.4791,288.46304,288.5166
38,2053,288.58975,288.56458,288.60828,288.5807
39,2054,288.56033,288.4424,288.5426,288.49265
40,2055,288.51477,288.46268,288.54886,288.57916
41,2056,288.6382,288.66702,288.74292,288.74023
42,2057,288.5162,288.4943,288.55685,288.5768
43,2058,288.60312,288.68814,288.64417,288.59134
44,2059,288.53717,288.62064,288.6112,288.58798
45,2060,288.47794,288.51718,288.48703,288.45895
46,2061,288.6078,288.63684,288.58194,288.6395
47,2062,288.73395,288.72836,288.73508,288.72986
48,2063,288.50174,288.55966,288.57602,288.5906
49,2064,288.7189,288.74612,288.73978,288.74533
50,2065,288.76785,288.85867,288.8271,288.8036
51,2066,288.7372,288.8751,288.78732,288.76773
52,2067,288.75113,288.8961,288.81607,288.7658
53,2068,288.87317,288.86304,288.88986,288.91956
54,2069,288.86783,288.8016,288.7939,288.9265
55,2070,288.8849,288.86453,288.9081,288.8941
56,2071,288.8595,288.9517,288.953,289.01456
57,2072,288.95764,288.97598,289.06406,288.94116
58,2073,288.91052,288.89838,288.8573,288.88574
59,2074,288.9929,288.9152,288.90097,288.90378
60,2075,289.00565,289.03064,288.9922,289.08163
61,2076,288.87473,288.86816,288.83713,288.87125
62,2077,288.86392,288.94778,288.92105,288.8033
63,2078,289.0275,288.99753,289.06055,289.0216
64,2079,289.05017,289.04453,289.05875,289.08618
65,2080,288.9866,288.88248,288.89755,288.9144
66,2081,288.97192,288.9169,288.907,288.98148
67,2082,289.07785,289.09702,289.07755,289.0768
68,2083,289.19467,289.1893,289.21857,289.19858
69,2084,289.05014,288.973,289.04724,289.02737
70,2085,288.98892,288.99084,288.9609,288.99393
71,2086,289.1268,289.08603,289.0635,289.08182
72,2087,289.23642,289.2095,289.2178,289.18845
73,2088,288.95825,288.99963,288.99704,288.94278
74,2089,288.9764,288.99368,288.9939,288.9675
75,2090,288.97562,288.99036,289.05063,289.09717
76,2091,288.90234,288.97034,288.8992,288.94302
77,2092,289.0466,289.02737,289.06027,289.05444
78,2093,289.17953,289.13223,289.0774,289.08972
79,2094,289.06802,289.08072,289.0454,289.14523
80,2095,289.2469,289.16605,289.14343,289.15482
81,2096,289.0737,289.02377,289.0081,289.0687
82,2097,289.0976,289.08902,289.04892,289.07785
83,2098,289.01065,288.99524,289.06067,289.0398
84,2099,289.14676,289.0324,289.0998,289.12817
