"Year","value","units","scenario","type","model"
2015,49918.3944115581,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2016,49963.5643619982,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2017,50001.5754962415,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2018,50033.021588244,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2019,50058.065522825,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2020,50075.7003011215,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2021,50043.1979864743,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2022,49988.8100860709,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2023,49913.2376724545,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2024,49819.5616505617,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2025,49711.021458567,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2026,49754.1667809433,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2027,49785.701944723,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2028,49808.3929760449,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2029,49822.086398228,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2030,49822.79838089,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2031,49824.9121694847,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2032,49818.909582459,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2033,49805.6706237491,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2034,49784.5575411124,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2035,49756.6301969435,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2036,49861.6285002853,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2037,49941.1105204442,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
2038,50000.2592866307,"area_thous_km2","FULL_FDBK","b) Forest","ELM"
