# Year,C_FDBK,AG_FDBK,FULL_FDBK,CONTROL
2.015000000000000000e+03,2.216821766308593400e+00,2.216821766308593400e+00,2.216821766308593400e+00,2.216821766308593400e+00
2.016000000000000000e+03,2.710998918347168107e+00,2.710998918347168107e+00,2.710998918347168107e+00,2.710998918347168107e+00
2.017000000000000000e+03,2.669109455895996241e+00,2.669109455895996241e+00,2.669109455895996241e+00,2.669109455895996241e+00
2.018000000000000000e+03,2.630217358630370317e+00,2.630217358630370317e+00,2.630217358630370317e+00,2.630217358630370317e+00
2.019000000000000000e+03,2.587349839636229998e+00,2.587349839636229998e+00,2.587349839636229998e+00,2.587349839636229998e+00
2.020000000000000000e+03,3.339708561694335831e+00,3.763551469482421474e+00,3.763551469482421474e+00,3.339708561694335831e+00
2.021000000000000000e+03,3.746356983544921970e+00,4.416516701586914451e+00,4.416516701586914451e+00,3.746356983544921970e+00
2.022000000000000000e+03,3.714784072778320567e+00,4.400331252978515018e+00,4.400331252978515018e+00,3.714784072778320567e+00
2.023000000000000000e+03,3.677049086352539575e+00,4.369977333544921905e+00,4.369977333544921905e+00,3.677049086352539575e+00
2.024000000000000000e+03,3.623400947241211423e+00,4.305144093090820689e+00,4.305144093090820689e+00,3.623400947241211423e+00
2.025000000000000000e+03,3.335490164355468856e+00,4.305670407861327931e+00,4.305670407861327931e+00,3.335490164355468856e+00
2.026000000000000000e+03,3.101034732934570659e+00,4.049217056030274264e+00,4.049217056030274264e+00,3.101034732934570659e+00
2.027000000000000000e+03,3.081058911474609641e+00,3.982308680346679619e+00,3.982308680346679619e+00,3.081058911474609641e+00
2.028000000000000000e+03,3.082508396191406153e+00,3.932395576611328103e+00,3.932395576611328103e+00,3.082508396191406153e+00
2.029000000000000000e+03,3.084133280712891167e+00,3.865170372143554633e+00,3.865170372143554633e+00,3.084133280712891167e+00
2.030000000000000000e+03,3.314811753588867926e+00,3.732310193334960946e+00,3.732310193334960946e+00,3.314811753588867926e+00
