# Year,C_FDBK,AG_FDBK,FULL_FDBK,CONTROL
2.015000000000000000e+03,2.820799959402304466e+02,2.820799959402304466e+02,2.820799959402304466e+02,2.820799959402304466e+02
2.016000000000000000e+03,2.821608015939596044e+02,2.821608015939596044e+02,2.821608015939596044e+02,2.821608015939596044e+02
2.017000000000000000e+03,2.822152782887030753e+02,2.822152782887030753e+02,2.822152782887030753e+02,2.822152782887030753e+02
2.018000000000000000e+03,2.822812474039708377e+02,2.822812474039708377e+02,2.822812474039708377e+02,2.822812474039708377e+02
2.019000000000000000e+03,2.820712077683650136e+02,2.820712077683650136e+02,2.820712077683650136e+02,2.820712077683650136e+02
2.020000000000000000e+03,2.823618704838618783e+02,2.820543375414918046e+02,2.820543375414918046e+02,2.823618704838618783e+02
2.021000000000000000e+03,2.824324421216562087e+02,2.824380247340818642e+02,2.824380247340818642e+02,2.824324421216562087e+02
2.022000000000000000e+03,2.820670019827562101e+02,2.820940038973816968e+02,2.820940038973816968e+02,2.820670019827562101e+02
2.023000000000000000e+03,2.823755749746989636e+02,2.820272628668127481e+02,2.820272628668127481e+02,2.823755749746989636e+02
2.024000000000000000e+03,2.824351760881560267e+02,2.822021657592896418e+02,2.822021657592896418e+02,2.824351760881560267e+02
2.025000000000000000e+03,2.825224660699545325e+02,2.821793932847759265e+02,2.821793932847759265e+02,2.825224660699545325e+02
2.026000000000000000e+03,2.823675123822570185e+02,2.824606954044052713e+02,2.824606954044052713e+02,2.823675123822570185e+02
2.027000000000000000e+03,2.825530291101254647e+02,2.825267501549625990e+02,2.825267501549625990e+02,2.825530291101254647e+02
2.028000000000000000e+03,2.828185032232792082e+02,2.829344355145742043e+02,2.829344355145742043e+02,2.828185032232792082e+02
2.029000000000000000e+03,2.826261754208043158e+02,2.825660069735548632e+02,2.825660069735548632e+02,2.826261754208043158e+02
2.030000000000000000e+03,2.825371570883086747e+02,2.823259836833900636e+02,2.823259836833900636e+02,2.825371570883086747e+02
2.031000000000000000e+03,2.825302790924184251e+02,2.824934316646135244e+02,2.824934316646135244e+02,2.825302790924184251e+02
