"","scenario","region","gcam_cover","year","gcam_cover_area_thouskm2"
"129","CONTROL","Africa_Eastern","gcam_man_forest",2015,129.16724
"161","CONTROL","Africa_Eastern","gcam_man_forest",2020,147.883809
"193","CONTROL","Africa_Eastern","gcam_man_forest",2025,167.212992
"225","CONTROL","Africa_Eastern","gcam_man_forest",2030,187.435565
"257","CONTROL","Africa_Eastern","gcam_man_forest",2035,208.106711
"289","CONTROL","Africa_Eastern","gcam_man_forest",2040,221.02788
"321","CONTROL","Africa_Eastern","gcam_man_forest",2045,233.660017
"353","CONTROL","Africa_Eastern","gcam_man_forest",2050,244.921007
"385","CONTROL","Africa_Eastern","gcam_man_forest",2055,252.663254
"417","CONTROL","Africa_Eastern","gcam_man_forest",2060,257.690281
"449","CONTROL","Africa_Eastern","gcam_man_forest",2065,261.845868
"481","CONTROL","Africa_Eastern","gcam_man_forest",2070,269.747398
"513","CONTROL","Africa_Eastern","gcam_man_forest",2075,276.014691
"545","CONTROL","Africa_Eastern","gcam_man_forest",2080,280.564583
"577","CONTROL","Africa_Eastern","gcam_man_forest",2085,283.434559
"609","CONTROL","Africa_Eastern","gcam_man_forest",2090,286.96628
"641","CONTROL","Africa_Eastern","gcam_man_forest",2095,291.810158
"673","CONTROL","Africa_Eastern","gcam_man_forest",2100,295.761897
"1291","C_FDBK","Africa_Eastern","gcam_man_forest",2015,129.16724
"1611","C_FDBK","Africa_Eastern","gcam_man_forest",2020,147.883809
"1931","C_FDBK","Africa_Eastern","gcam_man_forest",2025,167.212992
"2251","C_FDBK","Africa_Eastern","gcam_man_forest",2030,187.435565
"2571","C_FDBK","Africa_Eastern","gcam_man_forest",2035,208.106711
"2891","C_FDBK","Africa_Eastern","gcam_man_forest",2040,221.02788
"3211","C_FDBK","Africa_Eastern","gcam_man_forest",2045,233.660017
"3531","C_FDBK","Africa_Eastern","gcam_man_forest",2050,244.921007
"3851","C_FDBK","Africa_Eastern","gcam_man_forest",2055,252.663253
"4171","C_FDBK","Africa_Eastern","gcam_man_forest",2060,257.69026
"4491","C_FDBK","Africa_Eastern","gcam_man_forest",2065,261.845868
"4811","C_FDBK","Africa_Eastern","gcam_man_forest",2070,269.747388
"5131","C_FDBK","Africa_Eastern","gcam_man_forest",2075,276.014691
"5451","C_FDBK","Africa_Eastern","gcam_man_forest",2080,280.564583
"5771","C_FDBK","Africa_Eastern","gcam_man_forest",2085,285.612264
