"","scenario","region","gcam_cover","year","gcam_cover_area_thouskm2"
"129","CONTROL","Africa_Eastern","gcam_man_forest",2015,129.16724
"161","CONTROL","Africa_Eastern","gcam_man_forest",2020,147.883809
"193","CONTROL","Africa_Eastern","gcam_man_forest",2025,167.212992
"225","CONTROL","Africa_Eastern","gcam_man_forest",2030,187.435565
"257","CONTROL","Africa_Eastern","gcam_man_forest",2035,208.106711
"289","CONTROL","Africa_Eastern","gcam_man_forest",2040,221.02788
"321","CONTROL","Africa_Eastern","gcam_man_forest",2045,233.660017
"353","CONTROL","Africa_Eastern","gcam_man_forest",2050,244.921007
"385","CONTROL","Africa_Eastern","gcam_man_forest",2055,252.663254
"417","CONTROL","Africa_Eastern","gcam_man_forest",2060,257.690281
"449","CONTROL","Africa_Eastern","gcam_man_forest",2065,261.845868
"481","CONTROL","Africa_Eastern","gcam_man_forest",2070,269.747398
"513","CONTROL","Africa_Eastern","gcam_man_forest",2075,276.014691
"545","CONTROL","Africa_Eastern","gcam_man_forest",2080,280.564583
"577","CONTROL","Africa_Eastern","gcam_man_forest",2085,283.434559
"609","CONTROL","Africa_Eastern","gcam_man_forest",2090,286.96628
"641","CONTROL","Africa_Eastern","gcam_man_forest",2095,291.810158
"673","CONTROL","Africa_Eastern","gcam_man_forest",2100,295.761897
"1291","FULL_FDBK","Africa_Eastern","gcam_man_forest",2015,129.16724
"1611","FULL_FDBK","Africa_Eastern","gcam_man_forest",2020,147.883809
"1931","FULL_FDBK","Africa_Eastern","gcam_man_forest",2025,163.998014
"2251","FULL_FDBK","Africa_Eastern","gcam_man_forest",2030,178.170821
"2571","FULL_FDBK","Africa_Eastern","gcam_man_forest",2035,199.446763
"2891","FULL_FDBK","Africa_Eastern","gcam_man_forest",2040,229.358517
"3211","FULL_FDBK","Africa_Eastern","gcam_man_forest",2045,292.218397
"3531","FULL_FDBK","Africa_Eastern","gcam_man_forest",2050,330.268311
"3851","FULL_FDBK","Africa_Eastern","gcam_man_forest",2055,310.205676
"4171","FULL_FDBK","Africa_Eastern","gcam_man_forest",2060,307.352033
"4491","FULL_FDBK","Africa_Eastern","gcam_man_forest",2065,303.253554
"4811","FULL_FDBK","Africa_Eastern","gcam_man_forest",2070,318.091794
"5131","FULL_FDBK","Africa_Eastern","gcam_man_forest",2075,443.302154
"5451","FULL_FDBK","Africa_Eastern","gcam_man_forest",2080,470.492093
