"","year","forest_with_fdbks","forest","shrub_with_fdbks","shrub","grass_with_fdbks","grass","crop_with_fdbks","crop","bare_with_fdbks","bare","harvest_with_fdbks","harvest","units"
"1",2015,49918394.4115581,49918394.4115581,12407866.3070407,12407866.3070407,29865353.1452617,29865353.1452617,16399283.3572277,16399283.3572277,37562129.4181332,37562129.4181332,876903.719348595,876903.719348595,"area_km2"
"2",2016,49963564.3619982,49963564.3619982,12401339.5803419,12401339.5803419,29740425.1857876,29740425.1857876,16502664.7283319,16502664.7283319,37545032.7827622,37545032.7827622,321644.317215249,321644.317215249,"area_km2"
"3",2017,50001575.4962415,50001575.4962415,12395338.9138636,12395338.9138636,29623410.8281353,29623410.8281353,16606049.9311488,16606049.9311488,37526651.4698325,37526651.4698325,357356.49562296,357356.49562296,"area_km2"
"4",2018,50033021.588244,50033021.588244,12389863.1151056,12389863.1151056,29514042.1716337,29514042.1716337,16709430.137731,16709430.137731,37506669.6265075,37506669.6265075,353764.215163339,353764.215163339,"area_km2"
"5",2019,50058065.522825,50058065.522825,12384594.0094623,12384594.0094623,29412280.1286717,29412280.1286717,16812570.6484905,16812570.6484905,37485516.329772,37485516.329772,366942.990663296,366942.990663296,"area_km2"
"6",2020,50075700.3011215,50075700.3011215,12379547.2467731,12379547.2467731,29319782.3093404,29319782.3093404,16915102.8207955,16915102.8207955,37462893.9611911,37462893.9611911,371247.468914085,371247.468914085,"area_km2"
"7",2021,50043197.9864743,50088152.3075121,12352903.2706625,12343180.3268821,29103947.3867832,29106904.1113081,17223591.9292637,17193384.6097882,37429386.0660381,37421405.2837314,379862.738467843,381144.819194073,"area_km2"
"8",2022,49988810.0860709,50084419.134462,12328099.4705485,12309275.6637064,28909250.28557,28908855.2268574,17532029.9001,17471599.598986,37394836.8969322,37378877.0152098,387155.187159161,387378.379945886,"area_km2"
"9",2023,49913237.6724545,50068376.7265266,12304734.2182215,12276438.9313046,28735415.1475719,28723487.866522,17840392.2104675,17749610.7154625,37359247.3905063,37335112.3994061,396123.05294727,395704.415001184,"area_km2"
"10",2024,49819561.6505617,50040448.5217242,12282178.906738,12244602.9558567,28581017.6677161,28551231.1117663,18148402.436185,18027335.8492686,37321865.9780209,37289408.2006058,404600.387736041,403053.372882821,"area_km2"
"11",2025,49711021.458567,49999155.8775558,12260707.8936157,12214241.8894274,28445833.0555361,28394357.2605072,18455157.5591108,18304092.6526178,37280306.6723922,37241178.9591134,413872.491983438,410394.031168497,"area_km2"
"12",2026,49754166.7809433,50017853.6139098,12235318.0110238,12192660.4050407,28402501.1103699,28269731.0145548,18511116.4097431,18467675.5247823,37249924.3271416,37205106.0809342,424714.269423119,416679.864286528,"area_km2"
"13",2027,49785701.944723,50029662.3119865,12212038.2069601,12171724.4822932,28369338.0921982,28152170.6398734,18567068.3475293,18631260.7387451,37218880.0478111,37168208.4663234,438777.722434239,425667.896472019,"area_km2"
"14",2028,49808392.9760449,50037013.1734112,12190154.6528809,12151767.1378112,28344141.2993576,28039028.1570752,18623000.6849736,18794831.3859061,37187337.0259649,37130386.785018,456181.246010707,436068.137577091,"area_km2"
"15",2029,49822086.398228,50039862.2226613,12170223.7932101,12133148.0530864,28327287.9467573,27930623.0281151,18678923.768282,18958376.85922,37154504.7327442,37091016.4761388,482201.720464223,463954.447316935,"area_km2"
"16",2030,49822798.38089,50035141.3323084,12154315.9332011,12116398.2593221,28322284.9834812,27829664.8924483,18734845.289582,19121751.991615,37118782.0520672,37050070.1635278,525129.687085601,496378.128863356,"area_km2"
"17",2031,49824912.1694847,50041424.6060385,12132418.6827927,12097982.4917153,28189690.2708974,27703742.192242,18925823.959756,19301228.1848693,37080181.5562909,37008649.1643566,541806.619331845,515325.634517509,"area_km2"
"18",2032,49818909.582459,50043414.0591626,12112092.3331439,12080422.7036063,28065539.0445401,27582514.7983596,19116744.8572082,19480678.243211,37039740.8218707,36965996.8348821,560703.454242041,537796.239626169,"area_km2"
"19",2033,49805670.6237491,50040636.8578486,12093474.8765086,12063520.8610625,27949796.2845648,27466591.573379,19307582.494793,19660010.8920225,36996502.3596063,36922266.4549091,580158.764370731,561536.580352699,"area_km2"
"20",2034,49784557.5411124,50032079.212211,12076048.5207597,12047416.5254817,27842636.3421303,27356752.3025065,19498189.4620154,19838936.5803312,36951594.7732041,36877842.0186914,602480.547032614,587147.187390438,"area_km2"
"21",2035,49756630.1969435,50014986.6423111,12060750.5406823,12033671.7288243,27743743.6663117,27255578.4562859,19686904.3028218,20016726.67912,36904997.9324623,36832063.1326805,629886.802881089,618386.158346432,"area_km2"
"22",2036,49861628.5002853,50088872.2906118,12045406.2786956,12016580.9522075,27625412.0759971,27161093.2636366,19736889.8252882,20082264.0943235,36883689.9589555,36804216.0384423,670047.769252619,663381.13488077,"area_km2"
"23",2037,49941110.5204442,50139074.7899583,12031288.5903512,12000420.1320221,27532016.4957636,27090369.984295,19786794.1693674,20147636.9620434,36861816.8632954,36775524.7709029,716156.247616256,714728.737000485,"area_km2"
"24",2038,50000259.2866307,50172282.2086727,12018359.0364651,11985805.9137647,27458859.2994076,27037099.038628,19836564.0427983,20212540.9096302,36838984.9739201,36745298.5685263,777938.718046007,761190.083345472,"area_km2"
"25",2039,50043747.4238916,50191410.5158381,12006397.7777365,11972134.6495663,27402230.5668311,26999034.7063631,19886316.7507485,20277311.1654558,36814334.1200139,36713135.6019985,826711.128172246,811316.462074976,"area_km2"
"26",2040,50071335.9800761,50194912.5726578,11996094.9904523,11960086.2894682,27361502.7665262,26976111.4952876,19935460.3489078,20341295.9221109,36788632.5532592,36680620.3596973,888238.215716826,836968.271590288,"area_km2"
"27",2041,50136711.566811,50235347.6157116,11984938.6211446,11944954.9151732,27283175.1969906,26884615.6006332,19983940.7330512,20427558.3157495,36764260.5212244,36660550.1919543,938313.225688331,859472.618555425,"area_km2"
"28",2042,50190077.2970742,50263643.0465457,11974243.5458489,11930626.2045662,27216996.3800747,26804986.4392933,20032300.6287874,20513686.0685298,36739408.7874366,36640084.8802868,981449.82420481,879914.591059249,"area_km2"
"29",2043,50233731.9176703,50282416.3028497,11964115.7573433,11917040.4031581,27160475.6704586,26734604.6629331,20080490.1593149,20599644.1751131,36714213.1344346,36619321.0951678,1026426.86712475,901900.481322034,"area_km2"
"30",2044,50269190.6543177,50293007.9345396,11954704.2177908,11904179.7385986,27112626.5330632,26672945.8208725,20128059.2286146,20684999.1148911,36688446.0054355,36597894.0303201,1062657.51223135,924886.498087181,"area_km2"
