"scenario","region","gcam_cover","year","gcam_cover_area_thouskm2"
"CONTROL","Global","gcam_man_forest",2015,8152.906092199
"CONTROL","Global","gcam_man_forest",2020,8685.668815029
"CONTROL","Global","gcam_man_forest",2025,9061.078073821
"CONTROL","Global","gcam_man_forest",2030,9452.252624536
"CONTROL","Global","gcam_man_forest",2035,9793.341318025
"CONTROL","Global","gcam_man_forest",2040,9888.31415053728
"CONTROL","Global","gcam_man_forest",2045,10031.6701731917
"CONTROL","Global","gcam_man_forest",2050,10146.4016993397
"CONTROL","Global","gcam_man_forest",2055,10224.8093028366
"CONTROL","Global","gcam_man_forest",2060,10274.8616588632
"CONTROL","Global","gcam_man_forest",2065,10309.494250408
"CONTROL","Global","gcam_man_forest",2070,10380.0322828973
"CONTROL","Global","gcam_man_forest",2075,10418.8330554754
"CONTROL","Global","gcam_man_forest",2080,10424.3103500916
"CONTROL","Global","gcam_man_forest",2085,10399.4948053622
"CONTROL","Global","gcam_man_forest",2090,10376.723343179
"CONTROL","Global","gcam_man_forest",2095,10367.7648491611
"CONTROL","Global","gcam_man_forest",2100,10349.1367209113
"FULL_FDBK","Global","gcam_man_forest",2015,8152.906092199
"FULL_FDBK","Global","gcam_man_forest",2020,8685.668815029
"FULL_FDBK","Global","gcam_man_forest",2025,8814.411180624
"FULL_FDBK","Global","gcam_man_forest",2030,8985.552550275
"FULL_FDBK","Global","gcam_man_forest",2035,9306.324762988
"FULL_FDBK","Global","gcam_man_forest",2040,9389.21456167765
"FULL_FDBK","Global","gcam_man_forest",2045,9471.98991734735
"FULL_FDBK","Global","gcam_man_forest",2050,9800.78472394655
"FULL_FDBK","Global","gcam_man_forest",2055,10099.366930329
"FULL_FDBK","Global","gcam_man_forest",2060,9990.40241022478
"FULL_FDBK","Global","gcam_man_forest",2065,9962.45616875047
"FULL_FDBK","Global","gcam_man_forest",2070,9797.86644990357
"FULL_FDBK","Global","gcam_man_forest",2075,10144.1142545154
"FULL_FDBK","Global","gcam_man_forest",2080,10203.1378826472
"FULL_FDBK","Global","gcam_man_forest",2085,9812.25180288442
"FULL_FDBK","Global","gcam_man_forest",2090,9951.31811052742
"FULL_FDBK","Global","gcam_man_forest",2095,10090.1036902922
"FULL_FDBK","Global","gcam_man_forest",2100,10026.3354383039
"CONTROL","Global","gcam_unman_forest",2015,21769.2445706112
"CONTROL","Global","gcam_unman_forest",2020,21499.7692549812
"CONTROL","Global","gcam_unman_forest",2025,21023.0043131602
"CONTROL","Global","gcam_unman_forest",2030,20646.7135227782
"CONTROL","Global","gcam_unman_forest",2035,20252.0218650522
"CONTROL","Global","gcam_unman_forest",2040,20486.8519827662
"CONTROL","Global","gcam_unman_forest",2045,20485.8931884412
"CONTROL","Global","gcam_unman_forest",2050,20506.6118079302
"CONTROL","Global","gcam_unman_forest",2055,20641.3083910988
"CONTROL","Global","gcam_unman_forest",2060,20824.4182130589
"CONTROL","Global","gcam_unman_forest",2065,20987.9931504566
"CONTROL","Global","gcam_unman_forest",2070,21034.0783246563
"CONTROL","Global","gcam_unman_forest",2075,21089.0412867126
"CONTROL","Global","gcam_unman_forest",2080,21143.1912023066
"CONTROL","Global","gcam_unman_forest",2085,21199.2409615767
"CONTROL","Global","gcam_unman_forest",2090,21230.4439508432
"CONTROL","Global","gcam_unman_forest",2095,21241.4591038731
"CONTROL","Global","gcam_unman_forest",2100,21263.4191790779
"FULL_FDBK","Global","gcam_unman_forest",2015,21769.2445706112
"FULL_FDBK","Global","gcam_unman_forest",2020,21499.7692549812
"FULL_FDBK","Global","gcam_unman_forest",2025,21125.2912625812
"FULL_FDBK","Global","gcam_unman_forest",2030,20849.7784907902
"FULL_FDBK","Global","gcam_unman_forest",2035,20444.1845618842
"FULL_FDBK","Global","gcam_unman_forest",2040,20710.1407231552
"FULL_FDBK","Global","gcam_unman_forest",2045,20791.7887235932
"FULL_FDBK","Global","gcam_unman_forest",2050,20703.5867125712
"FULL_FDBK","Global","gcam_unman_forest",2055,20852.3703989063
"FULL_FDBK","Global","gcam_unman_forest",2060,21119.1816275547
"FULL_FDBK","Global","gcam_unman_forest",2065,21304.2789852936
"FULL_FDBK","Global","gcam_unman_forest",2070,21415.6235415274
"FULL_FDBK","Global","gcam_unman_forest",2075,21455.1871562346
"FULL_FDBK","Global","gcam_unman_forest",2080,21474.2658331986
"FULL_FDBK","Global","gcam_unman_forest",2085,21969.0492215393
"FULL_FDBK","Global","gcam_unman_forest",2090,21948.0034830451
"FULL_FDBK","Global","gcam_unman_forest",2095,21934.6521382422
"FULL_FDBK","Global","gcam_unman_forest",2100,22007.7039401666
"CONTROL","Global","gcam_crop",2015,15838.9827610302
"CONTROL","Global","gcam_crop",2020,16193.3499172057
"CONTROL","Global","gcam_crop",2025,17271.4787116587
"CONTROL","Global","gcam_crop",2030,17946.6547191577
"CONTROL","Global","gcam_crop",2035,18725.0573624563
"CONTROL","Global","gcam_crop",2040,18809.238406829
"CONTROL","Global","gcam_crop",2045,19158.2438758081
"CONTROL","Global","gcam_crop",2050,19377.6236247707
"CONTROL","Global","gcam_crop",2055,19377.7506537403
"CONTROL","Global","gcam_crop",2060,19213.6058155418
"CONTROL","Global","gcam_crop",2065,19042.2590440132
"CONTROL","Global","gcam_crop",2070,18983.9923540698
"CONTROL","Global","gcam_crop",2075,18931.609663185
"CONTROL","Global","gcam_crop",2080,18922.7964333937
"CONTROL","Global","gcam_crop",2085,18942.2452412984
"CONTROL","Global","gcam_crop",2090,18979.3543567197
"CONTROL","Global","gcam_crop",2095,19003.1273420155
"CONTROL","Global","gcam_crop",2100,18996.6358299312
"FULL_FDBK","Global","gcam_crop",2015,15838.9827610302
"FULL_FDBK","Global","gcam_crop",2020,16193.3499172057
"FULL_FDBK","Global","gcam_crop",2025,16866.7827550175
"FULL_FDBK","Global","gcam_crop",2030,17419.5730376327
"FULL_FDBK","Global","gcam_crop",2035,18248.0189548761
"FULL_FDBK","Global","gcam_crop",2040,18328.7690565721
"FULL_FDBK","Global","gcam_crop",2045,18518.8290612143
"FULL_FDBK","Global","gcam_crop",2050,19026.1611828787
"FULL_FDBK","Global","gcam_crop",2055,18598.300144527
"FULL_FDBK","Global","gcam_crop",2060,18292.7632746299
"FULL_FDBK","Global","gcam_crop",2065,18118.3111439612
"FULL_FDBK","Global","gcam_crop",2070,18310.7637186709
"FULL_FDBK","Global","gcam_crop",2075,17975.8713645764
"FULL_FDBK","Global","gcam_crop",2080,18105.7983838804
"FULL_FDBK","Global","gcam_crop",2085,18332.0753988242
"FULL_FDBK","Global","gcam_crop",2090,18258.3719962254
"FULL_FDBK","Global","gcam_crop",2095,18754.030106137
"FULL_FDBK","Global","gcam_crop",2100,18521.8303482845
"CONTROL","Global","gcam_forest",2015,29922.1506628102
"CONTROL","Global","gcam_forest",2020,30185.4380700102
"CONTROL","Global","gcam_forest",2025,30084.0823869812
"CONTROL","Global","gcam_forest",2030,30098.9661473142
"CONTROL","Global","gcam_forest",2035,30045.3631830772
"CONTROL","Global","gcam_forest",2040,30375.1661333035
"CONTROL","Global","gcam_forest",2045,30517.5633616329
"CONTROL","Global","gcam_forest",2050,30653.0135072699
"CONTROL","Global","gcam_forest",2055,30866.1176939354
"CONTROL","Global","gcam_forest",2060,31099.2798719221
"CONTROL","Global","gcam_forest",2065,31297.4874008646
"CONTROL","Global","gcam_forest",2070,31414.1106075536
"CONTROL","Global","gcam_forest",2075,31507.874342188
"CONTROL","Global","gcam_forest",2080,31567.5015523982
"CONTROL","Global","gcam_forest",2085,31598.7357669389
"CONTROL","Global","gcam_forest",2090,31607.1672940222
"CONTROL","Global","gcam_forest",2095,31609.2239530342
"CONTROL","Global","gcam_forest",2100,31612.5558999892
"FULL_FDBK","Global","gcam_forest",2015,29922.1506628102
"FULL_FDBK","Global","gcam_forest",2020,30185.4380700102
"FULL_FDBK","Global","gcam_forest",2025,29939.7024432052
"FULL_FDBK","Global","gcam_forest",2030,29835.3310410652
"FULL_FDBK","Global","gcam_forest",2035,29750.5093248722
"FULL_FDBK","Global","gcam_forest",2040,30099.3552848329
"FULL_FDBK","Global","gcam_forest",2045,30263.7786409405
"FULL_FDBK","Global","gcam_forest",2050,30504.3714365178
"FULL_FDBK","Global","gcam_forest",2055,30951.7373292353
"FULL_FDBK","Global","gcam_forest",2060,31109.5840377795
"FULL_FDBK","Global","gcam_forest",2065,31266.7351540441
"FULL_FDBK","Global","gcam_forest",2070,31213.489991431
"FULL_FDBK","Global","gcam_forest",2075,31599.30141075
"FULL_FDBK","Global","gcam_forest",2080,31677.4037158458
"FULL_FDBK","Global","gcam_forest",2085,31781.3010244237
"FULL_FDBK","Global","gcam_forest",2090,31899.3215935725
"FULL_FDBK","Global","gcam_forest",2095,32024.7558285344
"FULL_FDBK","Global","gcam_forest",2100,32034.0393784705
"CONTROL","Global","gcam_nb_crop",2015,15838.9827610302
"CONTROL","Global","gcam_nb_crop",2020,16193.3499172057
"CONTROL","Global","gcam_nb_crop",2025,16289.2873421665
"CONTROL","Global","gcam_nb_crop",2030,16357.9548858238
"CONTROL","Global","gcam_nb_crop",2035,16435.6614915212
"CONTROL","Global","gcam_nb_crop",2040,16091.2488329125
"CONTROL","Global","gcam_nb_crop",2045,15886.3641852454
