"","scenario","region","sector","year","alloc_thous_km2","prod_Mt_EJ","price_1975_usd_perkg_perGJ","tot_price","prod_alloc_a","prod_alloc_b","prod_alloc_r2","prod_alloc_slp_pval","prod_alloc_y","price_prod_a","price_prod_b","price_prod_r2","price_prod_slp_pval","price_prod_y","price_alloc_a","price_alloc_b","price_alloc_r2","price_alloc_slp_pval","price_alloc_y"
"1","CONTROL","Africa_Eastern","BioenergyCrop",2015,0,0,1.7892,0,0.09,0.01,0.91,0,0.0865587504577234,3.36,-0.85174,0.04,0.40504,3.36451276416814,3.74,-0.01915,0.19,0.07381,3.73827085447639
"2","CONTROL","Africa_Eastern","BioenergyCrop",2020,0,0,2.03188,0,0.09,0.01,0.91,0,0.0865587504577234,3.36,-0.85174,0.04,0.40504,3.36451276416814,3.74,-0.01915,0.19,0.07381,3.73827085447639
"3","CONTROL","Africa_Eastern","BioenergyCrop",2025,35.307742256236,0.30741674666921,1.49678,460135238.07954,0.09,0.01,0.91,0,0.453805107382046,3.36,-0.85174,0.04,0.40504,3.10267240586983,3.74,-0.01915,0.19,0.07381,3.06209389283496
"4","CONTROL","Africa_Eastern","BioenergyCrop",2030,60.486053141543,0.56294442676809,1.47561,830686425.583261,0.09,0.01,0.91,0,0.715692227748795,3.36,-0.85174,0.04,0.40504,2.88502824680188,3.74,-0.01915,0.19,0.07381,2.57990520939731
"5","CONTROL","Africa_Eastern","BioenergyCrop",2035,88.86533340804,0.87729903069825,1.48726,1304771756.39628,0.09,0.01,0.91,0,1.01087358526436,3.36,-0.85174,0.04,0.40504,2.61727861046094,3.74,-0.01915,0.19,0.07381,2.03641490732961
"6","CONTROL","Africa_Eastern","BioenergyCrop",2040,79.439043820821,0.85533658868386,1.71119,1463643417.18993,0.09,0.01,0.91,0,0.91282793609492,3.36,-0.85174,0.04,0.40504,2.63598498787356,3.74,-0.01915,0.19,0.07381,2.21693734930229
"7","CONTROL","Africa_Eastern","BioenergyCrop",2045,78.155362462461,0.91618730481563,1.96003,1795754603.05778,0.09,0.01,0.91,0,0.899475983458353,3.36,-0.85174,0.04,0.40504,2.58415575772496,3.74,-0.01915,0.19,0.07381,2.24152107245039
"8","CONTROL","Africa_Eastern","BioenergyCrop",2050,75.135353476392,0.95257212690723,2.30218,2192992499.12329,0.09,0.01,0.91,0,0.868063969346443,3.36,-0.85174,0.04,0.40504,2.55316520514021,3.74,-0.01915,0.19,0.07381,2.29935712680669
"9","CONTROL","Africa_Eastern","BioenergyCrop",2055,65.036707765438,0.85972069745671,2.76563,2377669352.5072,0.09,0.01,0.91,0,0.76302494361938,3.36,-0.85174,0.04,0.40504,2.63225084969033,3.74,-0.01915,0.19,0.07381,2.49275583024036
"10","CONTROL","Africa_Eastern","BioenergyCrop",2060,52.428206130597,0.71735955984786,3.05512,2191619538.48239,0.09,0.01,0.91,0,0.631880157921509,3.36,-0.85174,0.04,0.40504,2.75350608930603,3.74,-0.01915,0.19,0.07381,2.73422067000343
"11","CONTROL","Africa_Eastern","BioenergyCrop",2065,42.459881457889,0.59788746617513,3.27361,1957250388.14557,0.09,0.01,0.91,0,0.528196640178477,3.36,-0.85174,0.04,0.40504,2.85526572391559,3.74,-0.01915,0.19,0.07381,2.9251236011773
"12","CONTROL","Africa_Eastern","BioenergyCrop",2070,37.927443355345,0.543030207350187,3.40551,1849294801.43314,0.09,0.01,0.91,0,0.48105339977912,3.36,-0.85174,0.04,0.40504,2.90199006298174,3.74,-0.01915,0.19,0.07381,3.01192411656468
"13","CONTROL","Africa_Eastern","BioenergyCrop",2075,34.0073716723051,0.494876012137545,3.58356,1773417882.05562,0.09,0.01,0.91,0,0.440279565133141,3.36,-0.85174,0.04,0.40504,2.9430051080782,3.74,-0.01915,0.19,0.07381,3.08699723058081
"14","CONTROL","Africa_Eastern","BioenergyCrop",2080,30.8429268208376,0.455968979068279,3.84863,1754855891.91155,0.09,0.01,0.91,0,0.407365230510566,3.36,-0.85174,0.04,0.40504,2.97614393863821,3.74,-0.01915,0.19,0.07381,3.14759936960795
"15","CONTROL","Africa_Eastern","BioenergyCrop",2085,28.1639863254249,0.42256973262968,4.18468,1768319108.74077,0.09,0.01,0.91,0,0.379500771485759,3.36,-0.85174,0.04,0.40504,3.00459154518252,3.74,-0.01915,0.19,0.07381,3.19890363685507
"16","CONTROL","Africa_Eastern","BioenergyCrop",2090,26.1759466481703,0.397059371284763,4.47439,1776598480.28283,0.09,0.01,0.91,0,0.358822577915797,3.36,-0.85174,0.04,0.40504,3.0263198414684,3.74,-0.01915,0.19,0.07381,3.2369764940441
"17","CONTROL","Africa_Eastern","BioenergyCrop",2095,24.7798730029735,0.378393691259513,4.65336,1760802067.15937,0.09,0.01,0.91,0,0.344301599585442,3.36,-0.85174,0.04,0.40504,3.04221822175721,3.74,-0.01915,0.19,0.07381,3.26371263675144
"18","CONTROL","Africa_Eastern","BioenergyCrop",2100,23.4294175729343,0.359914364503131,4.80194,1728287183.48216,0.09,0.01,0.91,0,0.330255109915517,3.36,-0.85174,0.04,0.40504,3.05795787677414,3.74,-0.01915,0.19,0.07381,3.28957514710085
"19","CONTROL","Africa_Eastern","Corn",2015,59.7636066,14.806323,0.0744,1101590431.2,91.7,-1.06,0.39,0.00585,28.3488021353634,-0.1,0.00903,0.71,1e-05,0.0300182683479797,1.03,-0.01464,0.64,7e-05,0.159198991046844
"20","CONTROL","Africa_Eastern","Corn",2020,62.48561594,16.769495996,0.0752534,1261961589.98539,91.7,-1.06,0.39,0.00585,25.4631643613536,-0.1,0.00903,0.71,1e-05,0.047739640933642,1.03,-0.01464,0.64,7e-05,0.119359095893402
"21","CONTROL","Africa_Eastern","Corn",2025,64.36820482,18.635854619,0.075237,1402105793.9697,91.7,-1.06,0.39,0.00585,23.4674072178243,-0.1,0.00903,0.71,1e-05,0.0645870795465591,1.03,-0.01464,0.64,7e-05,0.091805133276862
"22","CONTROL","Africa_Eastern","Corn",2030,66.4294908,20.678636381,0.0750154,1551216179.57527,91.7,-1.06,0.39,0.00585,21.2822109367105,-0.1,0.00903,0.71,1e-05,0.0830270727562038,1.03,-0.01464,0.64,7e-05,0.0616357227176537
"23","CONTROL","Africa_Eastern","Corn",2035,68.34256586,22.876816807,0.0745542,1705562775.59244,91.7,-1.06,0.39,0.00585,19.2541349942335,-0.1,0.00903,0.71,1e-05,0.102869834662071,1.03,-0.01464,0.64,7e-05,0.0336355580264252
"24","CONTROL","Africa_Eastern","Corn",2040,66.01003903,24.693024455,0.0844442,2085182695.68291,91.7,-1.06,0.39,0.00585,21.7268772551176,-0.1,0.00903,0.71,1e-05,0.119264565278637,1.03,-0.01464,0.64,7e-05,0.0677749061117584
"25","CONTROL","Africa_Eastern","Corn",2045,64.02028255,26.470368022,0.0928504,2457784258.98991,91.7,-1.06,0.39,0.00585,23.8362441758676,-0.1,0.00903,0.71,1e-05,0.135308473598338,1.03,-0.01464,0.64,7e-05,0.0968973960235969
"26","CONTROL","Africa_Eastern","Corn",2050,62.09743005,28.145763802,0.100953,2841399293.10331,91.7,-1.06,0.39,0.00585,25.8746853106247,-0.1,0.00903,0.71,1e-05,0.150432109114068,1.03,-0.01464,0.64,7e-05,0.125040665361362
"27","CONTROL","Africa_Eastern","Corn",2055,61.20305517,29.136792043,0.115862,3375846999.68607,91.7,-1.06,0.39,0.00585,26.8228238419398,-0.1,0.00903,0.71,1e-05,0.159378025106931,1.03,-0.01464,0.64,7e-05,0.138130922225459
"28","CONTROL","Africa_Eastern","Corn",2060,59.72550202,29.657625471,0.133543,3960568278.27375,91.7,-1.06,0.39,0.00585,28.3891972999923,-0.1,0.00903,0.71,1e-05,0.164079538041075,1.03,-0.01464,0.64,7e-05,0.15975669760933
"29","CONTROL","Africa_Eastern","Corn",2065,58.496062576,30.016648564,0.152456,4576218173.47318,91.7,-1.06,0.39,0.00585,29.6925421667164,-0.1,0.00903,0.71,1e-05,0.167320404745575,1.03,-0.01464,0.64,7e-05,0.177751029159443
"30","CONTROL","Africa_Eastern","Corn",2070,58.322854087,30.5093716429,0.164369,5014794907.57183,91.7,-1.06,0.39,0.00585,29.8761627558498,-0.1,0.00903,0.71,1e-05,0.171768168279677,1.03,-0.01464,0.64,7e-05,0.180286144649328
"31","CONTROL","Africa_Eastern","Corn",2075,58.22710602,30.9920652123,0.177932,5514480147.35496,91.7,-1.06,0.39,0.00585,29.9776665364811,-0.1,0.00903,0.71,1e-05,0.17612539640245,1.03,-0.01464,0.64,7e-05,0.18168753328322
"32","CONTROL","Africa_Eastern","Corn",2080,58.1659037235,31.4314787253,0.193367,6077810746.67509,91.7,-1.06,0.39,0.00585,30.0425478930735,-0.1,0.00903,0.71,1e-05,0.180091939645921,1.03,-0.01464,0.64,7e-05,0.182583302831061
"33","CONTROL","Africa_Eastern","Corn",2085,58.0378693149,31.77870583156,0.210738,6696980909.53129,91.7,-1.06,0.39,0.00585,30.1782788475563,-0.1,0.00903,0.71,1e-05,0.183226325120055,1.03,-0.01464,0.64,7e-05,0.184457241079435
"34","CONTROL","Africa_Eastern","Corn",2090,58.07262781697,32.15353355034,0.225095,7237599634.51378,91.7,-1.06,0.39,0.00585,30.1414309039922,-0.1,0.00903,0.71,1e-05,0.18660985865147,1.03,-0.01464,0.64,7e-05,0.183948508409855
"35","CONTROL","Africa_Eastern","Corn",2095,58.3312123108,32.58751120682,0.234757,7650146368.37944,91.7,-1.06,0.39,0.00585,29.8673020932626,-0.1,0.00903,0.71,1e-05,0.190527332944364,1.03,-0.01464,0.64,7e-05,0.180163811946436
"36","CONTROL","Africa_Eastern","Corn",2100,58.2796874625,32.823387656931,0.244204,8015602559.37318,91.7,-1.06,0.39,0.00585,29.9219242601927,-0.1,0.00903,0.71,1e-05,0.192656566824984,1.03,-0.01464,0.64,7e-05,0.180917940348533
"37","CONTROL","Africa_Eastern","FiberCrop",2015,6.726808,0.3858854,0.4909,189431142.86,0.2,0.061,0.04,0.43383,0.608314144799651,-0.58,2.21689,0.52,0.00072,0.278517705817714,3.23,-0.3068,0.11,0.18908,1.16241022105138
"38","CONTROL","Africa_Eastern","FiberCrop",2020,7.14720062321,0.42675574609,0.505676,215800138.659807,0.2,0.061,0.04,0.43383,0.633781528650034,-0.58,2.21689,0.52,0.00072,0.369122773159145,3.23,-0.3068,0.11,0.18908,1.03343382274662
"39","CONTROL","Africa_Eastern","FiberCrop",2025,7.60461394238,0.48268642775,0.510909,246608840.115325,0.2,0.061,0.04,0.43383,0.661491626150391,-0.58,2.21689,0.52,0.00072,0.493114949958852,3.23,-0.3068,0.11,0.18908,0.893099480072628
"40","CONTROL","Africa_Eastern","FiberCrop",2030,8.04384287659,0.54297381405,0.512758,278414166.94465,0.2,0.061,0.04,0.43383,0.688100113664532,-0.58,2.21689,0.52,0.00072,0.626765462325982,3.23,-0.3068,0.11,0.18908,0.75834410417407
"41","CONTROL","Africa_Eastern","FiberCrop",2035,8.51695167673,0.60380087062,0.516868,312085348.395618,0.2,0.061,0.04,0.43383,0.716761043354872,-0.58,2.21689,0.52,0.00072,0.761612364394531,3.23,-0.3068,0.11,0.18908,0.613194390122446
"42","CONTROL","Africa_Eastern","FiberCrop",2040,8.14756360896,0.63429504471,0.567296,359833041.683804,0.2,0.061,0.04,0.43383,0.694383515319728,-0.58,2.21689,0.52,0.00072,0.829214598318892,3.23,-0.3068,0.11,0.18908,0.726522597915308
"43","CONTROL","Africa_Eastern","FiberCrop",2045,7.96470884803,0.67413692388,0.612292,412768645.396333,0.2,0.061,0.04,0.43383,0.68330617445224,-0.58,2.21689,0.52,0.00072,0.917539667484144,3.23,-0.3068,0.11,0.18908,0.782622413125073
"44","CONTROL","Africa_Eastern","FiberCrop",2050,7.83730068415,0.71677080303,0.657347,471167137.059361,0.2,0.061,0.04,0.43383,0.675587788267373,-0.58,2.21689,0.52,0.00072,1.01205429388114,3.23,-0.3068,0.11,0.18908,0.821711220075086
