"","Units","scenario","region","sector","year","value","value_baseline","diff"
"1","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2020,2.03188,2.03188,0
"2","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2025,1.4734,1.49678,-1.56201980250938
"3","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2030,1.46767,1.47561,-0.538082555688838
"4","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2035,1.43945,1.48726,-3.21463631106869
"5","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2040,1.68582,1.71119,-1.48259398430331
"6","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2045,1.95611,1.96003,-0.199996938822361
"7","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2050,2.31044,2.30218,0.358790363915938
"8","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2055,2.76372,2.76563,-0.0690620220347492
"9","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2060,3.02712,3.05512,-0.916494278457148
"10","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2065,3.27709,3.27361,0.106304660604034
"11","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2070,3.46799,3.40551,1.83467380803462
"12","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2075,3.62674,3.58356,1.20494703590843
"13","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2080,3.89228,3.84863,1.13416982146894
"14","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2085,4.22092,4.18468,0.8660160394582
"15","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2090,4.50552,4.47439,0.695737296033652
"16","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2095,4.7805,4.65336,2.73221929960286
"17","1975$/GJ","FULL_FDBK","Africa_Eastern","BioenergyCrop",2100,4.88053,4.80194,1.63663019529607
"18","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2020,1.19818,1.19818,0
"19","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2025,1.16392,1.18203,-1.53211001412822
"20","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2030,1.23381,1.25266,-1.50479779030224
"21","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2035,1.29449,1.326,-2.37631975867271
"22","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2040,1.4485,1.466,-1.193724420191
"23","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2045,1.67956,1.68564,-0.360693861085409
"24","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2050,2.01435,1.99626,0.906194583871837
"25","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2055,2.32016,2.34753,-1.16590629299732
"26","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2060,2.51183,2.53681,-0.98470125866739
"27","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2065,2.62582,2.68281,-2.12426522936771
"28","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2070,2.75962,2.78815,-1.02325915033266
"29","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2075,2.88135,2.9508,-2.3535990239935
"30","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2080,3.18889,3.21259,-0.737722522948782
"31","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2085,3.47475,3.56207,-2.45138360560012
"32","1975$/GJ","FULL_FDBK","Africa_Northern","BioenergyCrop",2090,3.86756,3.90014,-0.83535462829539
