"","Scenario","Year","commodity","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","FULL_FDBK","2030","BioenergyCrop",-4.15908762964236,-3.31105535974864,-1.93333177911363,-1.19215314489718,-0.733352718087498,0.572694273899451,0.572694273899451
"2","FULL_FDBK","2030","Corn",-13.3878151748712,-10.7855378157958,-4.22423946972134,-2.5874115845533,0.836775696389784,3.695898095489,3.695898095489
"3","FULL_FDBK","2030","OilPalm",-1.9156547718268,-0.875476544408379,-0.394821342075643,0,0,0,1.40022523195901
"4","FULL_FDBK","2030","Rice",-13.5554332817707,-9.1925738093805,-4.95427823678672,-2.76697211827931,-0.621026171817235,3.13988975740401,3.13988975740401
"5","FULL_FDBK","2030","Soybean",-14.5804614923584,-10.4807389824692,-6.77045794145205,-4.82568998550376,-3.09863899224416,0.441465956461324,0.441465956461324
"6","FULL_FDBK","2030","SugarCrop",-7.884219411779,-7.884219411779,-3.58555098247153,-1.36099116577672,0.532667775808656,4.40879686168817,7.5892792413983
"7","FULL_FDBK","2030","Wheat",-14.7764127764128,-9.60372152271229,-6.98107988157042,-4.16299908305365,-3.04843267189528,1.29778530117083,1.29778530117083
"8","FULL_FDBK","2050","BioenergyCrop",-3.61053333856598,-3.61053333856598,-0.616306640199571,0.639091059196515,1.7695867952641,3.71242238262812,8.99960592858549
"9","FULL_FDBK","2050","Corn",-9.53076863808088,-9.53076863808088,-3.6852726159567,1.13613602214938,4.0755788365894,10.0017754105637,16.7354573596193
"10","FULL_FDBK","2050","OilPalm",-4.79447192792031,-1.09662972957455,-0.505158105149919,0,0,0.695991091314025,1.63063741863319
"11","FULL_FDBK","2050","Rice",-13.5669083576454,-8.98507134830985,-4.66307900266266,-1.97087718352691,1.09553643320359,5.10198232624791,19.9525881782902
"12","FULL_FDBK","2050","Soybean",-12.3003596976267,-12.3003596976267,-5.53710905674637,-2.28785730055722,1.13212812117767,9.90392824447896,20.2662320930808
"13","FULL_FDBK","2050","SugarCrop",-6.90726070585352,-6.90726070585352,-2.04595934354974,0.162363360661203,2.68955116050832,8.7433752935566,28.2298285167726
"14","FULL_FDBK","2050","Wheat",-8.42198065422971,-8.42198065422971,-4.9002452376759,-1.95722459067325,1.28528995508086,9.80528999414613,32.5602715567468
"15","FULL_FDBK","2075","BioenergyCrop",-4.31205015091711,-4.31205015091711,-2.35778044349862,-1.00763385733104,0.344520905641358,2.38709702608471,2.38709702608471
"16","FULL_FDBK","2075","Corn",-14.6511409433803,-14.6511409433803,-6.43418489900872,-2.92328138792278,-0.794474024344771,7.32790525536639,7.32790525536639
"17","FULL_FDBK","2075","OilPalm",-7.28732751887529,-2.25539696867126,-1.07658226068146,0,0,0.814070890990591,2.34730210901124
"18","FULL_FDBK","2075","Rice",-16.7494422823273,-16.7494422823273,-8.21443297068679,-3.69537612218697,-1.35167772800627,3.1765133566495,3.1765133566495
"19","FULL_FDBK","2075","Soybean",-17.7877555290019,-17.7877555290019,-10.5916817134789,-6.57020515146572,-3.36529995272799,0.627429013611149,0.627429013611149
"20","FULL_FDBK","2075","SugarCrop",-11.4307530023436,-11.4307530023436,-4.25545273779966,-0.97300306827939,1.08510053633489,7.85607257589627,7.85607257589627
"21","FULL_FDBK","2075","Wheat",-14.9906245116933,-14.9906245116933,-11.7092262572907,-7.8332808529865,-5.67067473436363,0,0
"22","FULL_FDBK","2100","BioenergyCrop",-4.99281990478612,-3.2656367605413,-1.42474527933026,-1.02103968929747,0.450874465050422,2.49774589843006,4.32844530534088
"23","FULL_FDBK","2100","Corn",-25.363326874532,-12.8622206500716,-4.79885044588139,-2.95276087270098,1.66541635146839,6.39691636017448,6.39691636017448
"24","FULL_FDBK","2100","OilPalm",-5.88354337227485,-0.415418169692237,-0.415418169692237,0,0,0,1.53716216216216
"25","FULL_FDBK","2100","Rice",-30.4812614753213,-10.7377512918191,-6.931871707956,-5.2296925320398,-1.67759295574235,5.02802687333707,6.83911854239635
"26","FULL_FDBK","2100","Soybean",-24.9944168252612,-15.4901201348119,-8.02065890327708,-6.00438620107963,-2.50291327423912,0.580603354492045,0.580603354492045
"27","FULL_FDBK","2100","SugarCrop",-23.8270410535631,-14.8630572005408,-5.45377726456101,-1.27911233001825,0.84125280065469,5.72398476011629,12.6940583640179
"28","FULL_FDBK","2100","Wheat",-18.0241694847822,-18.0241694847822,-11.0431625948923,-8.74792947852988,-6.33547828844673,0.614686900401181,0.614686900401181
