"year","region","land_type","glb_lt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar"
2025,"Globe","biomassGrass",232.26132435262,241.334503977634,235.220902269448,1.03906453065444,1.01274244829645
2030,"Globe","biomassGrass",406.488848604759,398.121978568982,397.508549249692,0.979416729230098,0.977907636615637
2035,"Globe","biomassGrass",597.610358410348,610.800163972486,597.134276521344,1.02207091188517,0.999203357367716
2040,"Globe","biomassGrass",716.580987546113,713.837852648819,708.081329170268,0.996171912254205,0.98813859351062
2045,"Globe","biomassGrass",863.17015829335,872.357874199613,855.26647561462,1.01064415378357,0.990843424552168
2050,"Globe","biomassGrass",947.977444417104,929.763730669983,914.333762294063,0.9807867646489,0.964510039430603
2055,"Globe","biomassGrass",958.94934533524,965.819267465203,936.467574846224,1.00716400940611,0.976555831026553
2060,"Globe","biomassGrass",913.236371193107,925.759716435894,888.14594072152,1.01371314769957,0.972525809020498
2065,"Globe","biomassGrass",889.871361400974,930.851107933285,864.054151249388,1.04605131517863,0.97098770533424
2070,"Globe","biomassGrass",881.054023371422,843.321431128823,812.107021468757,0.957173350053823,0.921744864589762
2075,"Globe","biomassGrass",853.399185768794,869.3923108918,816.180826474162,1.01874049728393,0.956388100767751
2080,"Globe","biomassGrass",915.17757122273,897.392597962096,840.672648536566,0.980566642125121,0.918589654042088
2085,"Globe","biomassGrass",907.624074307205,924.822815557504,853.426139238825,1.01894919023983,0.940285921668892
2090,"Globe","biomassGrass",944.81989654356,948.788299348178,880.586756790966,1.00420016853914,0.932015466664516
2095,"Globe","biomassGrass",970.508406710614,960.325840732904,888.815549475598,0.989508008475453,0.91582467841582
2100,"Globe","biomassGrass",990.441279313231,951.356610843551,898.049651201823,0.960538126503793,0.906716702906939
2025,"Globe","biomassTree",733.516583473088,771.807533119211,753.056106040763,1.05220188678601,1.02663814698661
2030,"Globe","biomassTree",1164.69892194843,1240.06368277266,1201.12229500017,1.06470750457822,1.03127277991364
2035,"Globe","biomassTree",1613.92410160468,1720.83937240904,1657.45855135805,1.06624553824932,1.02697428566193
2040,"Globe","biomassTree",1966.32778382557,2096.04713288927,2028.05927856578,1.06597035862013,1.03139430528724
2045,"Globe","biomassTree",2369.3541321255,2547.83478146844,2423.30230033366,1.075328819328,1.02276914517619
2050,"Globe","biomassTree",2618.43436886586,2746.12143603401,2629.73022195982,1.04876466207685,1.00431397220731
2055,"Globe","biomassTree",2695.42502057735,2819.31926750175,2694.12471360855,1.04596464230263,0.999517587408709
2060,"Globe","biomassTree",2677.66570064007,2826.12867327439,2689.00424151812,1.05544492450974,1.00423448710395
2065,"Globe","biomassTree",2651.39738811152,2763.17969071197,2622.47553391291,1.042159769449,0.989091844802938
2070,"Globe","biomassTree",2635.62732384228,2859.96792494696,2650.12221196472,1.08511848358653,1.00549959699966
2075,"Globe","biomassTree",2605.02878272636,2820.22367893438,2612.08174798815,1.08260749272137,1.00270744235479
2080,"Globe","biomassTree",2711.29427749228,2863.72703831056,2664.92441679356,1.05622140026765,0.982897518324123
2085,"Globe","biomassTree",2732.22897148288,2955.82304016334,2713.01873841319,1.08183577255573,0.992969025191447
2090,"Globe","biomassTree",2808.11745767924,3029.75019689703,2774.0702798367,1.07892573674641,0.9878754438318
2095,"Globe","biomassTree",2883.34684218833,3077.15873560371,2831.8707227423,1.06721768279125,0.982147094240328
2100,"Globe","biomassTree",2845.68622659765,3166.01460079726,2861.7325252049,1.11256630165533,1.0056388151502
2025,"Globe","CornC4",1588.65521991517,1664.77156673505,1625.31361939655,1.04791243931703,1.02307511348078
2030,"Globe","CornC4",1628.43344861659,1657.26339942668,1619.18659821489,1.01770410134635,0.994321628305074
2035,"Globe","CornC4",1647.72096206296,1677.38136362987,1623.7926275347,1.01800086437559,0.985477920667885
2040,"Globe","CornC4",1625.16249119091,1667.12557464623,1610.58952318292,1.02582085402708,0.99103291634715
2045,"Globe","CornC4",1672.37266416622,1650.57263139228,1608.059529491,0.986964608283166,0.961543777859296
2050,"Globe","CornC4",1710.37211521024,1640.7373076054,1608.1780456447,0.959286749950157,0.940250388405696
2055,"Globe","CornC4",1705.9215235045,1646.45533665288,1605.99411412492,0.96514131158305,0.941423208510615
2060,"Globe","CornC4",1616.9039362447,1640.64280998673,1557.43679930478,1.0146816846752,0.963221601724816
2065,"Globe","CornC4",1635.03952087033,1606.0741575921,1526.03038571282,0.982284609693834,0.933329357629543
2070,"Globe","CornC4",1653.17855789213,1582.15291801715,1524.99975952999,0.957036921670737,0.922465242638055
2075,"Globe","CornC4",1570.84420384197,1576.10603781973,1472.53764127929,1.00334968545251,0.937418005985421
2080,"Globe","CornC4",1621.45386385747,1575.54441798277,1470.19705427609,0.971686245968489,0.906715317066412
